I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
vrp-n19-c27-sI,19,27,11,7.89367,2,577.22468,569.9997,64561.69959,80673.07962
vrp-n26-c25-sI,26,25,14,6.65513,2,529.99285,432.93247,58154.23356,42927.16369
vrp-n5-c31-sI,5,31,3,9.75392,2,542.72831,361.03296,58913.46822,43519.94327
vrp-n20-c36-sI,20,36,9,10.07748,3,509.53447,661.72019,59286.26808,63401.17909
vrp-n6-c44-sI,6,44,4,13.34931,2,499.54819,534.7517,56058.93434,29866.69806
vrp-n27-c27-sI,27,27,14,8.33881,2,543.86894,399.3537,62096.83465,39261.50817
vrp-n27-c15-sI,27,15,14,4.26244,2,545.51197,729.36396,59492.3732,74884.29941
vrp-n16-c36-sI,16,36,10,9.65136,2,531.18261,412.21997,52617.09254,31698.59844
vrp-n17-c25-sI,17,25,7,6.81071,3,554.90927,688.94636,65382.90154,54624.01241
vrp-n15-c13-sI,15,13,7,3.44601,3,573.35463,439.54018,83858.37991,38391.35654
vrp-n25-c14-sI,25,14,13,3.77178,2,544.32052,471.15983,61352.03884,43712.03766
vrp-n8-c17-sI,8,17,4,3.81356,2,580.3124,581.15434,75303.19029,49465.21604
vrp-n3-c48-sI,3,48,2,12.2551,2,743.20261,624.99589,73654.78758,55760.54363
vrp-n13-c20-sI,13,20,9,5.78924,2,392.74289,721.91362,40110.55241,48422.85924
vrp-n2-c19-sI,2,19,2,6.94422,1,420.45337,811.85066,0.0,1495.39657
vrp-n6-c19-sI,6,19,3,4.80646,2,483.48499,606.61897,60104.01303,19710.71959
vrp-n14-c47-sI,14,47,7,14.32232,2,399.37623,478.45843,31140.99804,25919.42004
vrp-n10-c43-sI,10,43,5,12.63473,2,467.26933,601.61024,45710.49415,41062.02157
vrp-n2-c32-sI,2,32,2,11.08553,1,520.24602,260.15245,0.0,18778.66126
vrp-n27-c39-sI,27,39,15,10.16515,2,516.70469,447.94618,60111.09787,31302.24003
vrp-n26-c27-sI,26,27,16,7.59648,2,533.90919,527.95748,55526.49571,55196.20672
vrp-n25-c45-sI,25,45,14,12.09901,2,600.06421,590.55298,69118.21544,91220.2427
vrp-n16-c41-sI,16,41,10,12.4875,2,575.50313,428.76752,66368.21673,17753.87012
vrp-n8-c17-sI,8,17,5,4.24264,2,617.70454,694.61264,54367.14014,70645.35674
vrp-n6-c42-sI,6,42,3,8.97161,2,729.44429,685.21489,58778.17687,94659.88235
vrp-n28-c15-sI,28,15,16,4.29418,2,447.45337,412.64253,45174.7165,30367.76276
vrp-n12-c50-sI,12,50,7,14.40003,2,560.29845,595.95335,76616.35117,24682.35691
vrp-n23-c41-sI,23,41,13,11.47998,2,530.62072,417.78772,57453.23368,36169.20076
vrp-n13-c30-sI,13,30,9,9.11379,2,442.20773,307.97765,51604.52684,37818.69189
vrp-n26-c16-sI,26,16,13,4.63954,2,517.47663,529.58994,67355.60261,79414.05201
vrp-n7-c40-sI,7,40,4,9.39082,2,287.76744,281.47091,34117.22326,10507.55324
vrp-n14-c21-sI,14,21,7,7.20802,2,464.56622,484.53259,40489.26117,40567.33624
vrp-n17-c47-sI,17,47,7,10.52628,3,530.50461,684.39108,78969.57067,115531.48624
vrp-n9-c49-sI,9,49,5,18.01555,2,549.96643,438.58528,55924.34707,33347.02396
vrp-n3-c48-sI,3,48,2,18.78829,2,624.97907,386.27138,24980.9962,68807.19159
vrp-n14-c23-sI,14,23,7,6.83975,2,547.93052,450.38352,59150.14518,32374.6859
vrp-n23-c44-sI,23,44,12,11.32651,2,517.03,465.53912,61265.28033,33650.41164
vrp-n15-c49-sI,15,49,9,12.88349,2,459.10046,476.84315,50288.87295,58291.02171
vrp-n7-c51-sI,7,51,5,14.07957,2,653.30702,464.59706,79484.81722,87131.32088
vrp-n18-c16-sI,18,16,9,4.43482,2,516.0801,501.80744,55339.54155,35539.5767
vrp-n8-c34-sI,8,34,4,10.01234,2,404.54833,341.84992,34590.47116,29872.97246
vrp-n29-c22-sI,29,22,16,6.6463,2,539.53701,504.23249,62996.30388,79873.41082
