I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
vrp-n49-c29-s1,49,29,30,7.71741,2,519.82163,589.17867,61181.95767,80734.72646
vrp-n37-c31-s1,37,31,16,8.11402,3,494.79241,363.21223,65642.73119,24483.19636
vrp-n33-c57-s1,33,57,18,15.93575,2,514.44752,467.29793,56291.64314,33581.38813
vrp-n46-c48-s1,46,48,25,14.781,2,514.99964,534.19863,58713.5513,61379.46657
vrp-n34-c61-s1,34,61,17,19.28476,2,493.07485,531.94684,58436.26748,50291.47193
vrp-n25-c78-s1,25,78,15,23.82778,2,532.65343,469.2274,69881.25068,72357.47034
vrp-n42-c57-s1,42,57,24,16.45891,2,509.11618,672.83067,58746.98192,80879.93579
vrp-n16-c29-s1,16,29,8,8.12404,2,596.26483,477.80813,75818.31876,86478.55851
vrp-n42-c41-s1,42,41,24,10.59011,2,513.60843,511.02363,60358.62864,57736.89014
vrp-n44-c59-s1,44,59,23,17.06435,2,527.5453,586.64917,60902.74177,76616.67432
vrp-n37-c40-s1,37,40,17,11.40115,3,526.75219,490.96121,62592.55845,48456.33952
vrp-n30-c71-s1,30,71,17,22.37282,2,577.22339,483.13143,73111.90234,35170.35622
vrp-n42-c72-s1,42,72,22,20.06029,2,525.01273,519.27085,61196.27092,71658.45144
vrp-n37-c59-s1,37,59,18,15.15134,3,509.15464,510.22733,55225.61885,46625.12502
vrp-n32-c23-s1,32,23,16,5.69923,2,474.63715,397.21766,49349.16204,40195.77947
vrp-n18-c28-s1,18,28,9,7.43727,2,504.40022,544.11612,52757.95425,54879.4586
vrp-n37-c31-s1,37,31,19,8.20715,2,540.94719,654.14084,64059.31389,106356.33689
vrp-n11-c56-s1,11,56,6,18.46995,2,537.91657,497.7813,60197.99095,39169.01962
vrp-n25-c34-s1,25,34,13,10.13438,2,534.75843,452.1779,58572.4664,28213.6462
vrp-n33-c34-s1,33,34,17,9.15212,2,529.32715,377.28823,59620.66702,26454.28657
vrp-n31-c70-s1,31,70,14,20.98474,3,458.70446,377.95397,47176.3376,27571.11776
vrp-n18-c56-s1,18,56,9,14.86542,2,481.42427,398.05505,48592.18852,39032.35149
vrp-n46-c40-s1,46,40,25,10.81019,2,500.33892,483.12717,57136.28282,58094.79652
vrp-n28-c22-s1,28,22,16,6.58142,2,459.01337,422.7482,45383.21937,26352.92997
vrp-n40-c50-s1,40,50,20,14.67405,2,530.31092,435.47249,59936.02435,27184.93041
vrp-n41-c76-s1,41,76,19,24.18476,3,512.83077,527.81353,62470.60323,63233.81263
vrp-n22-c48-s1,22,48,15,13.32735,2,505.33071,589.72886,56016.52279,53677.23448
vrp-n29-c74-s1,29,74,16,24.34849,2,575.96859,558.66089,69723.8913,64117.77035
vrp-n38-c26-s1,38,26,19,7.38844,2,540.34495,511.77892,66070.78881,65605.16186
vrp-n31-c62-s1,31,62,18,18.73124,2,516.4294,379.43503,57916.66288,34465.56896
vrp-n14-c68-s1,14,68,7,20.06944,2,502.39815,452.48019,47272.15732,55088.20825
vrp-n41-c25-s1,41,25,20,7.2067,3,539.36784,486.872,60779.79931,65273.28029
vrp-n36-c20-s1,36,20,17,5.40162,3,492.27835,480.57637,55728.75653,55905.25158
vrp-n37-c64-s1,37,64,16,20.09155,3,506.77457,553.84501,60242.54451,71414.13161
vrp-n33-c38-s1,33,38,19,10.57336,2,535.26156,589.41968,60814.80241,83030.05597
vrp-n46-c63-s1,46,63,23,16.27347,2,533.20851,438.01088,62976.00455,38793.79279
vrp-n41-c52-s1,41,52,21,13.90468,2,506.88219,375.42917,54378.59169,19811.9945
vrp-n23-c23-s1,23,23,8,5.72033,3,562.13949,646.85068,58526.57704,75820.60041
vrp-n25-c65-s1,25,65,15,19.80631,2,477.76406,693.46304,54779.53169,45895.60151
vrp-n31-c51-s1,31,51,15,14.99111,3,518.6714,417.86914,61370.5298,62222.99619
vrp-n45-c54-s1,45,54,22,14.9228,3,513.19252,717.885,56840.43375,87222.62537
vrp-n33-c58-s1,33,58,16,18.23057,3,488.04266,646.7598,53559.66865,60456.28498
vrp-n40-c30-s1,40,30,22,8.43973,2,513.66409,433.50403,65207.2041,30430.42006
vrp-n43-c33-s1,43,33,23,9.12819,2,532.64644,399.35312,63244.28261,31289.19382
vrp-n40-c36-s1,40,36,20,9.63492,2,524.07939,409.65845,59582.31482,49357.69597
vrp-n34-c79-s1,34,79,17,22.63939,2,547.7237,427.67346,63268.10759,25512.92282
vrp-n24-c78-s1,24,78,15,21.58837,2,503.88578,672.99668,58241.46774,72280.58965
vrp-n24-c42-s1,24,42,14,11.59269,2,497.68837,494.02887,55797.60498,41221.80096
vrp-n30-c24-s1,30,24,13,6.31319,3,521.51762,557.09861,55491.17413,47863.45088
vrp-n47-c65-s1,47,65,25,17.95229,2,516.75123,454.73457,57647.10943,52160.81978
vrp-n36-c52-s1,36,52,19,15.71858,2,480.54221,353.84619,51078.84132,17773.89212
vrp-n46-c50-s1,46,50,22,12.75315,3,500.03328,523.74228,56119.32469,74468.19022
vrp-n30-c35-s1,30,35,15,10.14689,2,553.7303,479.97402,74795.74346,15972.46657
vrp-n34-c71-s1,34,71,17,18.84727,2,497.97744,508.4454,53128.46955,51307.32861
vrp-n31-c53-s1,31,53,16,14.54113,2,530.03278,461.25265,64290.41711,72748.30331
vrp-n12-c74-s1,12,74,6,26.49283,2,508.62422,705.29963,54026.51347,72929.84801
vrp-n14-c57-s1,14,57,8,18.97531,2,525.08091,413.38683,57273.66085,34093.80801
vrp-n43-c50-s1,43,50,27,15.24976,2,529.05665,448.47806,57767.5636,34168.69963
vrp-n20-c44-s1,20,44,9,9.80721,3,526.74849,493.70841,59975.49276,70349.31506
vrp-n40-c59-s1,40,59,17,17.54403,3,476.52771,450.82174,49823.78984,31847.82546
vrp-n47-c69-s1,47,69,25,20.07424,2,534.53859,532.49972,61484.6673,51881.80223
vrp-n34-c46-s1,34,46,18,12.94245,2,530.85125,577.01005,68515.86053,53689.35189
vrp-n16-c51-s1,16,51,10,12.85695,2,523.97051,725.37135,58069.98779,102790.02563
vrp-n47-c20-s1,47,20,25,6.04784,2,476.62117,382.71675,55306.11151,42373.62197
vrp-n33-c23-s1,33,23,16,6.2047,3,518.0931,542.5359,58353.16326,55537.90601
vrp-n30-c73-s1,30,73,15,19.06083,2,514.42659,483.89287,66974.1151,37672.26234
vrp-n40-c23-s1,40,23,23,6.12035,2,534.98715,503.33931,62504.66449,62635.53795
